column,dtype,vtype,n_missing,pct_missing,n_unique,in_stage2,sample_or_levels
COPD,datetime64[us],categorical/string/date,540,83.7,105,False,NaT: 540 (83.7%); 2017-01-19 00:00:00: 1 (0.2%); 2009-03-19 00:00:00: 1 (0.2%); 2009-10-07 00:00:00: 1 (0.2%); 2011-11-10 00:00:00: 1 (0.2%); 2021-12-13 00:00:00: 1 (0.2%); 2012-12-11 00:00:00: 1 (0.2%); 2013-05-27 00:00:00: 1 (0.2%); 2019-01-14 00:00:00: 1 (0.2%); 2012-07-23 00:00:00: 1 (0.2%)
OncologicalDiagnosis,str,categorical/string/date,502,77.8,1,False,nan: 502 (77.8%); Oncological diagnosis: 143 (22.2%)
sbp-numeric result,float64,continuous,164,25.4,115,True,"min=55.0, max=220.0, median=134.0"
dbp-numeric result,float64,continuous,137,21.2,77,True,"min=24.0, max=137.0, median=67.0"
hospitalization-count,int64,continuous,0,0.0,11,False,"min=0, max=10, median=1.0"
GFR,float64,continuous,1,0.2,616,True,"min=1.43322314186076, max=114.583333333333, median=14.0471503121553"
na-numeric result,float64,continuous,3,0.5,56,False,"min=116.0, max=159.0, median=137.0"
k-numeric result,float64,continuous,3,0.5,69,False,"min=2.56, max=8.19999999999999, median=4.5"
albumin-numeric result,float64,continuous,1,0.2,39,True,"min=1.5, max=4.79999999999999, median=3.1"
hb-numeric result,float64,continuous,66,10.2,105,True,"min=4.5, max=16.0, median=9.69"
urea-numeric result,float64,continuous,4,0.6,267,False,"min=25.0, max=472.0, median=211.0"
creatinine-numeric result,float64,continuous,1,0.2,428,True,"min=0.959999999999999, max=13.83, median=5.07"
ca-numeric result,float64,continuous,1,0.2,58,False,"min=4.79999999999999, max=12.8, median=8.3"
p-numeric result,float64,continuous,1,0.2,129,False,"min=1.89999999999999, max=13.0, median=5.79999999999999"
ua-numeric result,float64,continuous,1,0.2,149,False,"min=1.7, max=22.1999999999999, median=9.350000000000001"
crp-numeric result,float64,continuous,25,3.9,595,True,"min=0.27, max=688.32, median=38.06"
hba1c-numeric result,float64,continuous,65,10.1,71,False,"min=4.0, max=18.6999999999999, median=6.09999999999999"
months_dialysis_to_echo,float64,continuous,0,0.0,297,False,"min=-12.2, max=2.23333333333333, median=-2.33333333333333"
MI_binary,int64,binary,0,0.0,2,True,"min=0, max=1, median=0.0"
CABG_binary,int64,binary,0,0.0,2,True,"min=0, max=1, median=0.0"
IHD_binary,int64,binary,0,0.0,2,True,"min=0, max=1, median=1.0"
AFIB_binary,int64,binary,0,0.0,2,True,"min=0, max=1, median=0.0"
HTN_binary,int64,binary,0,0.0,2,True,"min=0, max=1, median=1.0"
Diabetes mellitus_binary,int64,binary,0,0.0,2,True,"min=0, max=1, median=1.0"
DYSLIPIDEMIA_binary,int64,binary,0,0.0,2,False,"min=0, max=1, median=0.0"
COPD_binary,int64,binary,0,0.0,2,True,"min=0, max=1, median=0.0"
years_since_MI,float64,continuous,517,80.2,117,False,"min=0.0, max=43.2689938398357, median=4.375085557837091"
