column,level,n,pct
TricuspidRegurgitation,Moderate (II),64,9.92
TricuspidRegurgitation,Severe (IV),51,7.91
TricuspidRegurgitation,Moderately-severe (III),31,4.81
TricuspidRegurgitation,No Value,26,4.03
TricuspidRegurgitation,nan,19,2.95
ECHO_SPAP,Severely increased,150,23.26
ECHO_SPAP,Moderately increased,142,22.02
ECHO_SPAP,Mildly increased,135,20.93
ECHO_SPAP,nan,119,18.45
ECHO_SPAP,Normal,99,15.35
ProcedureSummary,"חדר שמאל בגודל תקין, התכווצות גלובלית ירודה במידה בינונית, אקינזיה פוסטריורית,לטרלית, אינפרו-בזלית וספטו-בזלית, הפוקינזיה אנטריורית, תבנית מילוי רסטריקטיבית, עליות בגודל תקין, חדר ימני בגודל תקין, טבעת מסתם מיטרלי מסוידת, אי ספיקה מיטרלית קשה, מסתם אאורטלי מעובה, אי ספיקה אאורטלית וטריקוספידלית קלה, לחץ דם ריאתי מוגבר במידה קשה.",2,0.31
ProcedureSummary,"בדיקה בוצעה בשכיבה על הגב.  חדר שמאלי בגודל תקין, ספטום מעובה במדיה קלה, תפקודו הגלובלי הסיסטולי תקין  עם היפוקנזיה ספטלית בלבד.   תבנית מילוי דיאסטולי מתאימה להפרעה דרגה 1 ( הפרעה בהרפיה).   חדר ימין בגודל ותפקוד תקינים   עליה שמאלית מרוחבת במדיה קלה   מסתם אאורטלי מסוייד תלת עלי  מפתחו מוגבלת במידה קלה מאוד עם דלף מנימלי  והצרות קלה.   מסתם מטרלי עם דלף מנימלי   מסתם טריקוספידלי עם דלף מנימלי   לחץף דם ראתי סיסטולי לא ניתן להערכה בהעדר סגנל TR דופלר מספק  IVC אינו מורחב ועובר תמט נשימתי הולם באינספיריום    ללא עדות לתפליט פריקרדיאלי    אאורטה  עולה ברוחב תקין ",1,0.16
ProcedureSummary,"חדר שמאל בגודל ותפקוד תקין, תבנית המילוי פסאדונורמלית, היפוקינזיה אינפרובזלית ואפיקלית, חדר ימין בגודל ותפקוד תקין, הרחבה של עליה שמאלית, הסתידות בטבעת המסתם המיטרלי, אי ספיקה מיטרלית קלה עם סילון אקסנטרי קדמי, מסתם אאורטלי מעובה, אי ספיקה טריקוספידלית מינימלית, לחץ ראתי מוגבר במידה בינונית, הודגם תפליט פלאורלי מימין. ",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין, התכווצותו הגלובלית ואיזורית תקינה, חדר ימין עם תפקוד תקין, עליות בגודל תקין, אי ספיקה מיטרלית מינימלית, אי ספיקה טריקוספידלית מינימלית, לא ניתן להעריך לחץ דם ריאתי בשל סינגל TR קלוש.  הודגם נוזל פקרידריאלי בכמות גדולה , עם סימני לחץ על עליה הימנית, והחדר הימני ללא שינוים רספירטוריים משמעותיים. IVC אינו מורחב עם קולפס נשימתי תקין.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין ,תפקודו הסיסטולי הגלובלי תקין  עם היפוקינזיה אחורית קלה, תבנית המילוי הדיאסטולי פסאודונורמלית ,עליה שמאל מורחבת במידה קלה. מודגם PFO עם דלף משמאל לימין.   חדר ימין בגודל ותפקוד תקינים , ל""ד ריאתי מוערך מוגבר במידה קלה.   מסתם אאורטלי מסוייד ללא דלף או הצרות, אנולוס מיטראלי מסוייד, דלף מיטראלי וטריקוספידלי מינימלי ",1,0.16
ProcedureSummary,"חדר שמאלי מעט מורחב, היפרטרופי, התכווצות גלובלית ואיזורית תקינה, חדר ימני בגודל והתכווצות תקינה, מסתם אורטלי מסוייד עם היצרות קלה, אנולוס מיטרלי מסוייד עם דלף קל מיטרלי על בסיס ה - MAC ניצפה מסה מסויידת ניידת בגודל של 1.1 על 0.7 ס""מ באבחנה מבדלת: מרכיב של ה MAC (במקום ראשון) או וגטציה. דלף קל של טריקספיד, אין עדות ליתר לחץ דם ריאתי, הגדלה קלה של העליה השמאלית.",1,0.16
ProcedureSummary,"חדר שמאל בגודל תקין, היפרטרופי, תפקודו הגלובלי והאיזורי תקין. חדר ימין תקין. עליה שמאלית מורחבת במידה קלה. מסתם אורטלי מסוייד, היצרות קלה,דלף עד בינוני.אי ספיקה מיטרלית וטריקוספידלית מינימלית. לחץ דם ריאתי מוערך כתקין.  הודגמה אנאוריזמה בינעלתית.",1,0.16
