column,dtype,vtype,n_missing,pct_missing,n_unique,clinical_axis,proposed_status,sample_or_top_levels
COPD,datetime64[us],date,540,83.7,105,Clinical (date),Excluded — date kept; binary used,"min=2008-12-25 17:39:37.837000, max=2024-02-18 11:26:55.987000"
OncologicalDiagnosis,str,categorical,502,77.8,1,Clinical (date),Excluded — date kept; binary used,nan: 502 (77.8%); Oncological diagnosis: 143 (22.2%)
sbp-numeric result,float64,continuous,164,25.4,115,Lab,Sensitivity (>20% missing),"min=55.0, max=220.0, median=134.0"
dbp-numeric result,float64,continuous,137,21.2,77,Lab,Sensitivity (>20% missing),"min=24.0, max=137.0, median=67.0"
hospitalization-count,int64,continuous,0,0.0,11,Outcome,Excluded — duplicate of hosp_total,"min=0, max=10, median=1.0"
GFR,float64,continuous,1,0.2,616,Lab,Candidate covariate (alternative to creatinine),"min=1.4332231418607648, max=114.58333333333347, median=14.047150312155315"
na-numeric result,float64,continuous,3,0.5,56,Lab,Sensitivity (held for Stage 4),"min=116.0, max=159.0, median=137.0"
k-numeric result,float64,continuous,3,0.5,69,Lab,Sensitivity (held for Stage 4),"min=2.56, max=8.19999999999999, median=4.5"
albumin-numeric result,float64,continuous,1,0.2,39,Lab,Candidate covariate (full base),"min=1.5, max=4.79999999999999, median=3.1"
hb-numeric result,float64,continuous,66,10.2,105,Lab,Candidate covariate (full base),"min=4.5, max=16.0, median=9.69"
urea-numeric result,float64,continuous,4,0.6,267,Lab,Sensitivity (held for Stage 4),"min=25.0, max=472.0, median=211.0"
creatinine-numeric result,float64,continuous,1,0.2,428,Lab,Core clinical (parsimonious base),"min=0.959999999999999, max=13.83, median=5.07"
ca-numeric result,float64,continuous,1,0.2,58,Lab,Sensitivity (held for Stage 4),"min=4.79999999999999, max=12.8, median=8.3"
p-numeric result,float64,continuous,1,0.2,129,Lab,Sensitivity (held for Stage 4),"min=1.89999999999999, max=13.0, median=5.79999999999999"
ua-numeric result,float64,continuous,1,0.2,149,Lab,Sensitivity (held for Stage 4),"min=1.7, max=22.1999999999999, median=9.350000000000001"
crp-numeric result,float64,continuous,25,3.9,595,Lab,Candidate covariate (full base),"min=0.27, max=688.32, median=38.06"
hba1c-numeric result,float64,continuous,65,10.1,71,Lab,Sensitivity (held for Stage 4),"min=4.0, max=18.6999999999999, median=6.09999999999999"
MI_binary,int64,binary,0,0.0,2,Clinical,Candidate covariate (full base),"min=0, max=1, median=0.0"
CABG_binary,int64,binary,0,0.0,2,Clinical,Candidate covariate (full base),"min=0, max=1, median=0.0"
IHD_binary,int64,binary,0,0.0,2,Clinical,Candidate covariate (full base),"min=0, max=1, median=1.0"
AFIB_binary,int64,binary,0,0.0,2,Clinical,Candidate covariate (full base),"min=0, max=1, median=0.0"
HTN_binary,int64,binary,0,0.0,2,Clinical,Candidate covariate (full base),"min=0, max=1, median=1.0"
Diabetes mellitus_binary,int64,binary,0,0.0,2,Clinical,Candidate covariate (full base),"min=0, max=1, median=1.0"
DYSLIPIDEMIA_binary,int64,binary,0,0.0,2,Clinical,Descriptive only (held for Stage 4 per DEC-017),"min=0, max=1, median=0.0"
COPD_binary,int64,binary,0,0.0,2,Clinical,Candidate covariate (full base),"min=0, max=1, median=0.0"
OncologicalDiagnosis_binary,int64,binary,0,0.0,2,Clinical,Descriptive only (held for Stage 4 per DEC-017),"min=0, max=1, median=0.0"
flag_echo_after_death,int64,binary,0,0.0,2,Outcome QC,Used to define cohort exclusion,"min=0, max=1, median=0.0"
gap_echo_to_dial_days,int64,continuous,0,0.0,297,Timing,Core clinical (covariate),"min=-68, max=365, median=69.0"
death_event,int64,binary,0,0.0,2,Outcome,Outcome — secondary (Cox),"min=0, max=1, median=1.0"
censor_or_event_date,datetime64[us],date,0,0.0,494,Admin,Excluded — derived,"min=2012-02-17 00:00:00, max=2025-08-16 00:00:00"
time_to_event_days,int64,continuous,0,0.0,513,Outcome,Outcome — secondary (Cox),"min=1, max=5911, median=553.0"
followup_days,int64,continuous,0,0.0,513,Outcome,Outcome — denominator for hosp rate,"min=1, max=5911, median=553.0"
died_1year,float64,binary,27,4.2,2,Outcome,Outcome — primary (1y mortality),"min=0.0, max=1.0, median=0.0"
hosp_total,int64,continuous,0,0.0,11,Outcome,Outcome — primary (hosp rate),"min=0, max=10, median=1.0"
