outcome,model,predictor,type,term,level,reference_level,contrast,effect_label,effect,ci_lower,ci_upper,beta,se,pvalue,qvalue,n,events,person_years,n_nonmissing,level_count,ref_count,mean,sd,status
hospitalization,negbin,LACavitySize,categorical,LACavitySize__Moderately dilated,Moderately dilated,Mildly dilated,Moderately dilated vs Mildly dilated,IRR,1.0880595567081957,0.85053412135865,1.3919178187147931,0.08439588655709586,0.1256587556074393,0.5018208126115169,0.6056458083242446,601,1127,1503.9096509240246,601,170.0,324.0,,,ok
hospitalization,negbin,LACavitySize,categorical,LACavitySize__Normal,Normal,Mildly dilated,Normal vs Mildly dilated,IRR,0.9085807549484588,0.6495761817634962,1.2708578476839443,-0.0958715068755869,0.17120908985198188,0.5755016821548969,0.6497599637232707,601,1127,1503.9096509240246,601,67.0,324.0,,,ok
hospitalization,negbin,LACavitySize,categorical,LACavitySize__Severely dilated,Severely dilated,Mildly dilated,Severely dilated vs Mildly dilated,IRR,1.4576433787992698,0.9367085377516864,2.268287449217846,0.3768210075083241,0.22561848844771845,0.09488592951953788,0.17073444902988305,601,1127,1503.9096509240246,601,40.0,324.0,,,ok
one_year_mortality,logistic,ECHO_SPAP,categorical,ECHO_SPAP__Moderately increased,Moderately increased,Severely increased,Moderately increased vs Severely increased,OR,0.9029519583252943,0.5648872238574992,1.443336306096313,-0.10208592927801405,0.23931217408736088,0.6696848351055016,0.7560957815707277,501,212,,501,133.0,149.0,,,ok
one_year_mortality,logistic,ECHO_SPAP,categorical,ECHO_SPAP__Mildly increased,Mildly increased,Severely increased,Mildly increased vs Severely increased,OR,0.6296805221573343,0.389014468711281,1.0192360230143673,-0.46254269590591823,0.24571678322545798,0.059778731570719265,0.13948370699834495,501,212,,501,129.0,149.0,,,ok
one_year_mortality,logistic,ECHO_SPAP,categorical,ECHO_SPAP__Normal,Normal,Severely increased,Normal vs Severely increased,OR,0.6670020120724344,0.3911139745606467,1.1374988188761084,-0.40496221647071184,0.27234890751716184,0.1370347979041848,0.25243252245507725,501,212,,501,90.0,149.0,,,ok
survival,cox,ECHO_SPAP,categorical,ECHO_SPAP__Moderately increased,Moderately increased,Severely increased,Moderately increased vs Severely increased,HR,0.8180065545861203,0.6358496696210484,1.0523473634021765,-0.20088492947002615,0.12852694468817485,0.11805750871696145,0.18254424529125984,525,425,,525,142.0,150.0,,,ok
survival,cox,ECHO_SPAP,categorical,ECHO_SPAP__Mildly increased,Mildly increased,Severely increased,Mildly increased vs Severely increased,HR,0.7284550434955328,0.5644077777234933,0.9401832705679786,-0.3168293663073181,0.13018040856221175,0.014942425211669639,0.03268655515052733,525,425,,525,134.0,150.0,,,ok
survival,cox,ECHO_SPAP,categorical,ECHO_SPAP__Normal,Normal,Severely increased,Normal vs Severely increased,HR,0.6341039016667264,0.47411628249295756,0.84807835747539,-0.4555424552171339,0.14834977210538425,0.002135344187699922,0.005338360469249805,525,425,,525,99.0,150.0,,,ok
hospitalization,negbin,ECHO_SPAP,categorical,ECHO_SPAP__Moderately increased,Moderately increased,Severely increased,Moderately increased vs Severely increased,IRR,0.9146336540489506,0.6764099468877858,1.236756976990046,-0.08923167196790152,0.15394379021676496,0.5621587560297854,0.6497599637232707,525,962,1224.78302532512,525,142.0,150.0,,,ok
hospitalization,negbin,ECHO_SPAP,categorical,ECHO_SPAP__Mildly increased,Mildly increased,Severely increased,Mildly increased vs Severely increased,IRR,0.6545739757215189,0.48112114065200634,0.8905596813127459,-0.4237706737066938,0.1570771287840085,0.006978868977704293,0.018789262632280788,525,962,1224.78302532512,525,134.0,150.0,,,ok
hospitalization,negbin,ECHO_SPAP,categorical,ECHO_SPAP__Normal,Normal,Severely increased,Normal vs Severely increased,IRR,0.6286108845030991,0.44917412959370595,0.8797293033621446,-0.46424283930071714,0.1714836666921493,0.006785067614503608,0.018789262632280788,525,962,1224.78302532512,525,99.0,150.0,,,ok
one_year_mortality,logistic,EstimatedSysPAPressure,continuous,EstimatedSysPAPressure__z,,,per 1 SD,OR,1.1896307060868834,0.9972408846712617,1.4191367789050298,0.1736429279413769,0.09000464194049293,0.053697803682443146,0.13948370699834495,512,216,,512,,,50.32250000908971,15.000536633757733,ok
survival,cox,EstimatedSysPAPressure,continuous,EstimatedSysPAPressure__z,,,per 1 SD,HR,1.1991714625177445,1.0894182440316151,1.319981746583652,0.1816308704231493,0.04897387834211909,0.00020830175828269408,0.0009113201924867866,536,434,,536,,,49.95731344151853,14.985195265795715,ok
hospitalization,negbin,EstimatedSysPAPressure,continuous,EstimatedSysPAPressure__z,,,per 1 SD,IRR,1.2115824492116098,1.083232413322338,1.3551404234068005,0.19192731443678507,0.057132564128278905,0.0007813082625676083,0.0027345789189866286,536,983,1254.4804928131416,536,,,49.95731344151853,14.985195265795715,ok
one_year_mortality,logistic,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Trivial,Trivial,Mild (I),Trivial vs Mild (I),OR,0.3745000000000003,0.23319505913385286,0.6014289090040162,-0.9821634760248622,0.24169655141096227,4.8317004849978585e-05,0.00034135547231473474,573,228,,573,160.0,187.0,,,ok
one_year_mortality,logistic,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Moderate-to-Severe,Moderate-to-Severe,Mild (I),Moderate-to-Severe vs Mild (I),OR,1.8135593220338992,1.1634516495426641,2.8269308963796753,0.5952913905561872,0.2264838778696979,0.008578627580690097,0.033361329480461485,573,228,,573,139.0,187.0,,,ok
one_year_mortality,logistic,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Mild-to-mod,Mild-to-mod,Mild (I),Mild-to-mod vs Mild (I),OR,0.8173611111111112,0.48544077877513614,1.3762321073282868,-0.2016742853097695,0.265833299671189,0.4480622862075837,0.5808214821209418,573,228,,573,87.0,187.0,,,ok
survival,cox,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Trivial,Trivial,Mild (I),Trivial vs Mild (I),HR,0.6425015277445966,0.5049858399272933,0.8174649277563423,-0.44238608440298754,0.12287919948761851,0.0003180084330583182,0.0012366994618934596,599,473,,599,164.0,197.0,,,ok
survival,cox,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Moderate-to-Severe,Moderate-to-Severe,Mild (I),Moderate-to-Severe vs Mild (I),HR,1.7424923545516544,1.3766913485379242,2.20549043828565,0.5553164760111541,0.12022334645210046,3.855190796422272e-06,2.6986335574955907e-05,599,473,,599,145.0,197.0,,,ok
survival,cox,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Mild-to-mod,Mild-to-mod,Mild (I),Mild-to-mod vs Mild (I),HR,1.1209262112136813,0.8461831041627973,1.4848743313410862,0.11415531785009014,0.14345917970022834,0.4261867781227938,0.4811786204612188,599,473,,599,93.0,197.0,,,ok
hospitalization,negbin,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Trivial,Trivial,Mild (I),Trivial vs Mild (I),IRR,0.48685061727568957,0.37237257289502024,0.6365225067436476,-0.7197979436611035,0.13676906531372723,1.4182311329360915e-07,1.65460298842544e-06,599,1079,1495.6495550992472,599,164.0,197.0,,,ok
hospitalization,negbin,tricuspid_regurgitation_clin_grouped,categorical,tricuspid_regurgitation_clin_grouped__Moderate-to-Severe,Moderate-to-Severe,Mild (I),Moderate-to-Severe vs Mild (I),IRR,1.3980715513835005,1.049529124469406,1.8623628608458351,0.3350938237490423,0.14630483790152451,0.021999238857274575,0.05499809714318644,599,1079,1495.6495550992472,599,145.0,197.0,,,ok
