outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Mild-to-mod,Mild-to-mod vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),644,1177,IRR,1.0139283051513053,0.7541734217435857,1.3631488174301232,0.9270153061160462,0.01383219769028772,-0.2821329351082098,0.3097973304887852,1.0,0.9341237954936555,0.01383219769028772
hospitalization_negative_binomial,MI_binary,main_candidate,MI_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,644,1177,IRR,0.990738447522285,0.7945840995043739,1.2353162767932588,0.9341237954936557,-0.00930470731539624,-0.2299364464935566,0.21132703186276414,1.0,0.9341237954936555,0.00930470731539624
one_year_mortality_logistic,AgeAtFirstHFDate,main_candidate,AgeAtFirstHFDate__z,per 1 SD increase,continuous,continuous_per_1SD,,617,239,OR,1.6039356602924228,1.3399700042315719,1.9199008890001208,2.6073723341551467e-07,0.4724603966026706,0.29264722881046223,0.6522735643948789,,1.0690226570036102e-05,0.4724603966026706
one_year_mortality_logistic,creatinine-numeric result,main_candidate,creatinine-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,616,239,OR,0.6349699478616663,0.5313042081211609,0.7588624906872615,5.909565210597407e-07,-0.45417760741146573,-0.6324205251328137,-0.2759346896901178,,1.2114608681724684e-05,0.45417760741146573
one_year_mortality_logistic,albumin-numeric result,main_candidate,albumin-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,616,239,OR,0.6591719376839671,0.5557253488097836,0.7818747954554097,1.7094977187578271e-06,-0.4167708715539866,-0.5874810837391883,-0.24606065936878496,,2.3363135489690305e-05,0.4167708715539866
one_year_mortality_logistic,LV_EF,main_candidate,LV_EF__z,per 1 SD increase,continuous,continuous_per_1SD,,613,237,OR,0.7121986178786578,0.6046027088082693,0.8389424392557946,4.876495914653362e-05,-0.3393984487768806,-0.5031837163155733,-0.17561318123818778,,0.0004998408312519696,0.3393984487768806
one_year_mortality_logistic,HTN_binary,main_candidate,HTN_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,617,239,OR,2.2056347907410774,1.439921618692731,3.3785344750529465,0.0002772213934758958,0.7910153544247154,0.3645886806430822,1.2174420282063485,,0.002167750799627983,0.7910153544247154
one_year_mortality_logistic,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),617,239,OR,0.430769230769726,0.27237012493310164,0.6812866507423252,0.00031723182433580243,-0.8421827597192835,-1.300593384241545,-0.3837721351970219,,0.002167750799627983,0.8421827597192835
one_year_mortality_logistic,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Moderate-to-Severe,Moderate-to-Severe vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),617,239,OR,2.086049543676662,1.3603522993942463,3.1988792172522817,0.0007495398638485728,0.7352721068606162,0.30774370987418165,1.1628005038470506,,0.004390162059684497,0.7352721068606162
one_year_mortality_logistic,AFIB_binary,main_candidate,AFIB_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,1.7177333491063156,1.238916415773035,2.3816036506312144,0.0011746597982504083,0.5410056014495623,0.21423713933269445,0.8677740635664302,,0.006020131466033342,0.5410056014495623
one_year_mortality_logistic,TissueDopplerEERatioSeptal,main_candidate,TissueDopplerEERatioSeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,501,187,OR,1.2775174304720884,1.065396247953707,1.5318720976300286,0.008199170642287455,0.24491868720779839,0.06334679376911179,0.426490580646485,,0.03735177737042063,0.24491868720779839
one_year_mortality_logistic,LACavitySize,main_candidate,LACavitySize__level__Severely_dilated,Severely dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,617,239,OR,2.2058823529411127,1.1224485943143143,4.335091138841445,0.021729302988564708,0.7911275889201201,0.11551254387453824,1.4667426339657021,,0.0890901422531153,0.7911275889201201
one_year_mortality_logistic,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__after_dialysis,after_dialysis vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,617,239,OR,0.5703333333346331,0.34109545750225656,0.9536336645891622,0.03227599884310769,-0.5615342937557742,-1.0755929068486259,-0.047475680662922626,,0.12030145023340139,0.5615342937557742
one_year_mortality_logistic,LACavitySize,main_candidate,LACavitySize__level__Moderately_dilated,Moderately dilated vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,617,239,OR,1.4880952380951962,1.0216111566988835,2.1675834520024666,0.03832316438857146,0.39749693845895934,0.02138094648596134,0.7736129304319573,,0.12803524914021455,0.39749693845895934
one_year_mortality_logistic,MitralInflowPeakEWave,main_candidate,MitralInflowPeakEWave__z,per 1 SD increase,continuous,continuous_per_1SD,,558,213,OR,1.1945312077438857,1.0061610000202152,1.4181674764231542,0.04234511403095534,0.17775381364075757,0.006142098654073974,0.3493655286274412,,0.12803524914021455,0.17775381364075757
one_year_mortality_logistic,TissueDopplerEVelosityLateral,main_candidate,TissueDopplerEVelosityLateral__z,per 1 SD increase,continuous,continuous_per_1SD,,509,189,OR,1.2020477829342469,1.0051970458625132,1.437448387263534,0.043719353364951315,0.18402658818000248,0.005183587827543107,0.3628695885324619,,0.12803524914021455,0.18402658818000248
one_year_mortality_logistic,EstimatedSysPAPressure,main_candidate,EstimatedSysPAPressure__z,per 1 SD increase,continuous,continuous_per_1SD,,512,216,OR,1.1896307060868807,0.9972408866557476,1.4191367760809748,0.053697800982029704,0.1736429279413748,-0.002762926713435948,0.35004878259618555,,0.1467739893508812,0.1736429279413748
one_year_mortality_logistic,crp-numeric result,main_candidate,crp-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,592,234,OR,1.1716370129830722,0.9937912813867995,1.3813094518964752,0.059319603233735474,0.15840192729820024,-0.006228072858236594,0.32303192745463705,,0.15200648328644714,0.15840192729820024
one_year_mortality_logistic,hb-numeric result,main_candidate,hb-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,551,207,OR,0.86288749946826,0.7238964709348131,1.0285653634656764,0.09983292526017874,-0.1474709562244939,-0.32310689276770654,0.028164980318718752,,0.24077352562748994,0.1474709562244939
one_year_mortality_logistic,ECHO_SPAP,main_candidate,ECHO_SPAP__level__Moderately_increased,Moderately increased vs Severely increased,categorical,categorical_dummy_vs_reference,Severely increased,617,239,OR,1.400615040536748,0.9176004791098493,2.1378830290943114,0.11842326685377626,0.3369114548198822,-0.08599319103344927,0.7598161006732137,,0.2697418856113793,0.3369114548198822
one_year_mortality_logistic,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Moderate-to-Severe,Moderate-to-Severe vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),617,239,OR,1.3654226961157592,0.8815762966874838,2.1148244866308445,0.16292283099283655,0.31146404818391654,-0.12604372764244093,0.7489718240102741,,0.3373776638778708,0.31146404818391654
one_year_mortality_logistic,CABG_binary,main_candidate,CABG_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,1.3231740167782562,0.8911906428122569,1.9645510113888571,0.16492472340698217,0.2800334084396032,-0.11519690940165173,0.6752637262808582,,0.3373776638778708,0.2800334084396032
one_year_mortality_logistic,LACavitySize,main_candidate,LACavitySize__level__Normal,Normal vs Mildly dilated,categorical,categorical_dummy_vs_reference,Mildly dilated,617,239,OR,0.659937888200522,0.3630783607262839,1.1995152104668976,0.17280319369354358,-0.4156095571772635,-1.0131365982444351,0.18191748388990808,,0.3373776638778708,0.4156095571772635
one_year_mortality_logistic,days_echo_to_dialysis,main_candidate,days_echo_to_dialysis__z,per 1 SD increase,continuous,continuous_per_1SD,,617,239,OR,0.8992664460036704,0.7651648274506294,1.056870509328594,0.19752126540732384,-0.10617590799574453,-0.26766400764415155,0.05531219165266252,,0.36810781280455807,0.10617590799574453
one_year_mortality_logistic,HD/PD,main_candidate,HD/PD__level__PD,PD vs HD,categorical,categorical_dummy_vs_reference,HD,617,239,OR,0.8019771393266,0.533398426270995,1.2057915815366755,0.2888822217425817,-0.22067517610218507,-0.6284866176116632,0.18713626540729317,,0.5149639604976457,0.22067517610218507
one_year_mortality_logistic,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),617,239,OR,0.7940816553568018,0.5113743866486377,1.2330802868456072,0.3044843400763302,-0.23056898252297267,-0.6706533021493042,0.20951533710335887,,0.5201607476303974,0.23056898252297267
one_year_mortality_logistic,TissueDopplerEVelositySeptal,main_candidate,TissueDopplerEVelositySeptal__z,per 1 SD increase,continuous,continuous_per_1SD,,509,191,OR,0.9230826230642325,0.768617475208144,1.1085898466885593,0.3916552317762554,-0.08003653270634967,-0.2631618646954147,0.10308879928271536,,0.6423145801130589,0.08003653270634967
one_year_mortality_logistic,Diabetes mellitus_binary,main_candidate,Diabetes mellitus_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,617,239,OR,1.1465753424657465,0.8206104432541073,1.6020208209114377,0.4228557589342582,0.13677953634703244,-0.1977067726912637,0.47126584538532856,,0.6668110044732534,0.13677953634703244
one_year_mortality_logistic,COPD_binary,main_candidate,COPD_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,0.8539598332702085,0.5478677648844213,1.331064617376649,0.48572085599999204,-0.15787111994112563,-0.6017213261082821,0.2859790862260308,,0.7212076274553424,0.15787111994112563
one_year_mortality_logistic,MI_binary,main_candidate,MI_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference,0,617,239,OR,0.8833910034602201,0.6199712107427671,1.2587353274993327,0.49253203826218506,-0.12398736386497987,-0.4780822363069643,0.23010750857700452,,0.7212076274553424,0.12398736386497987
one_year_mortality_logistic,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Mild-to-mod,Mild-to-mod vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),617,239,OR,1.1618299761010538,0.7259905895373161,1.8593200970101451,0.5318268773131665,0.14999632767316823,-0.3202182263111618,0.6202108816574983,,0.7518931713737871,0.14999632767316823
one_year_mortality_logistic,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_91_180d,before_91_180d vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,617,239,OR,1.1568627450980393,0.7003208913629712,1.9110259703820884,0.5693661216109294,0.14571181118139376,-0.35621663274653736,0.6476402551093249,,0.7781336995349368,0.14571181118139376
one_year_mortality_logistic,IHD_binary,main_candidate,IHD_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference,1,617,239,OR,0.9491850431447791,0.6800030856431315,1.3249237615997818,0.7592345625324494,-0.052151511872132135,-0.3856579431117926,0.2813549193675283,,0.9412967489660318,0.052151511872132135
one_year_mortality_logistic,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_gt_365d,before_gt_365d vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,617,239,OR,1.4749999999999974,0.09093174366691933,23.925913132923643,0.7845512374096012,0.3886579897917814,-2.3976461235025215,3.174962103086084,,0.9412967489660318,0.3886579897917814
one_year_mortality_logistic,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__same_day,same_day vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,617,239,OR,0.842857142857159,0.23887909394492862,2.9739235507528807,0.7904299734827314,-0.17095779814362047,-1.4317977381282532,1.089882141841012,,0.9412967489660318,0.17095779814362047
one_year_mortality_logistic,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Mild-to-mod,Mild-to-mod vs Mild (I),categorical,categorical_dummy_vs_reference,Mild (I),617,239,OR,0.9401709401709442,0.5661811130311822,1.5611990163529799,0.8115507389785106,-0.06169356900533566,-0.5688412642764943,0.445454126265823,,0.9412967489660318,0.06169356900533566
one_year_mortality_logistic,LeftVentricleEstimatedMassIndex,main_candidate,LeftVentricleEstimatedMassIndex__z,per 1 SD increase,continuous,continuous_per_1SD,,556,209,OR,1.020347336677077,0.8596411576964602,1.2110968374918367,0.8178125956133042,0.020143095484304888,-0.15124023530361969,0.19152642627222943,,0.9412967489660318,0.020143095484304888
one_year_mortality_logistic,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_31_90d,before_31_90d vs before_181_365d,categorical,categorical_dummy_vs_reference,before_181_365d,617,239,OR,0.9560185185185196,0.573316996057358,1.5941816029101392,0.8631223130893131,-0.04497799528307643,-0.5563164934975395,0.46636050293138664,,0.9412967489660318,0.04497799528307643
