n,events,OR_per_SD,CIlo,CIhi,p,p_LR,AUC_base,AUC_full,dAUC,cohort,var,outcome,total_hosp,IRR_per_SD,HR_per_SD,C_base,C_full,dC
62,35.0,1.2263370256283237,0.4737818644783494,3.1742508803767184,0.6741336874532454,0.671568754139176,0.873015873015873,0.8698412698412699,-0.0031746031746031633,30d,RVSystolicFunction_ord,1y_mortality,,,,,,
117,51.0,2.7910018660231213,0.6083195208301748,12.8052629406236,0.18667140041858676,0.17658419948916726,0.8265002970885323,0.8306595365418895,0.004159239453357166,30d,LeftVentricleSystolicFunction_ord,1y_mortality,,,,,,
128,,,1.1073278073215032,1.715425932170088,0.004066262163078395,5.011073699545676e-06,,,,30d,TricuspidRegurgitation_ord,hosp_rate,239.0,1.3782375833260205,,,,
82,,,0.6738551418774043,1.4181087846260425,0.9047749095055981,0.8414432326402539,,,,30d,TissueDopplerSVelocitySeptal,hosp_rate,175.0,0.977547899727566,,,,
135,,,0.5961212578856592,1.0106876125777344,0.059967787696354954,0.0016326563287746287,,,,30d,LV_EF,hosp_rate,255.0,0.7762038204874367,,,,
100,,,0.8480903699185103,1.480380445041545,0.4234000179767594,0.2078442487411658,,,,30d,EeRatio_avg,hosp_rate,188.0,1.1204893570469168,,,,
100,,,0.8235639853305448,1.33237552558631,0.7052233173749581,0.5921032751338231,,,,30d,TissueDopplerEERatioSeptal,hosp_rate,188.0,1.047519211188387,,,,
99,,,0.8985471030229386,1.715852338102524,0.1896139901999867,0.02642341951711391,,,,30d,TissueDopplerEERatioLateral,hosp_rate,186.0,1.241681983286042,,,,
120,,,0.9369557280366579,1.5774388821148306,0.141577261792595,0.010606930172130768,,,,30d,MitralInflowPeakEWave,hosp_rate,227.0,1.2157262834311156,,,,
65,,,0.7973161226239754,1.7667178916223776,0.3986608418280284,0.21677148477637087,,,,30d,RVSystolicFunction_ord,hosp_rate,140.0,1.1868583146773497,,,,
124,,,0.5017286483564523,2.036424739593905,0.9760031916471416,0.9658639443199076,,,,30d,LeftVentricleSystolicFunction_ord,hosp_rate,219.0,1.010807910572573,,,,
128,99.0,,0.998902043976674,1.555805825182938,0.05114688882575024,0.05673030171491533,,,,30d,TricuspidRegurgitation_ord,full_FU_Cox,,,1.2466345169319084,0.7032632342277012,0.710514865844815,0.007251631617113841
82,73.0,,0.5957397995438916,1.151145769253977,0.2617242335830898,0.260805698690285,,,,30d,TissueDopplerSVelocitySeptal,full_FU_Cox,,,0.828120371577202,0.6998152709359606,0.6967364532019704,-0.0030788177339902134
