outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note
survival,C_lite,cox,AFIB_binary,HR,1.3540004471090088,1.0838689997648143,1.69145645015145,0.00760057829909792,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,LV_EF,HR,0.9804419851139485,0.9731531069869582,0.9877854566486655,2.1260902215338294e-07,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,TissueDopplerEERatioSeptal,HR,1.014207592828299,1.0022638407407958,1.026293675915015,0.01959095798757771,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,EstimatedSysPAPressure,HR,1.0030456237808663,0.9947008018610665,1.0114604527346835,0.4755764274774035,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,m/f_m,HR,0.9471592447317704,0.7427337436508714,1.207849572676144,0.6616491581373432,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,LACavitySize_Moderate_or_Severe,HR,1.13897754931669,0.895747725568595,1.4482535883906191,0.2883670731918191,415,340.0,consultation_only_not_final_stage5
survival,C_lite,cox,LACavitySize_Normal,HR,1.2639200126519627,0.8448339341993647,1.8908968185517503,0.2544631855938725,415,340.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,C(Q('m/f'))[T.m],IRR,1.256528683341315,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,C(Q('AFIB_binary'))[T.1],IRR,1.1104809084540865,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Moderate_or_Severe],IRR,0.8082412637283732,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,C(Q('LACavitySize'))[T.Normal],IRR,1.251175157882712,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,Q('AgeAtFirstHFDate'),IRR,1.0214303034852792,,,,415,781.0,consultation_only_not_final_stage5
hospitalization,C_lite,negative_binomial,Q('albumin-numeric result'),IRR,0.9343730114699186,,,,415,781.0,consultation_only_not_final_stage5
