outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value,cohort_label
hospitalization,poisson_robust,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.030737969401935912,0.007614334528253366,1.0312152585308672,1.01593957476032,1.0467206277280432,5.4172376095174e-05,full_cohort_primary
hospitalization,poisson_robust,C_minimal_primary_reference,m/f_m,0.11620692841691038,0.1394134880682782,1.1232282759359185,0.85466687299414,1.4761795498661219,0.40453940096822705,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,const,-1.2039630886394515,0.7026115003893691,0.3000029147201046,0.07569208894100724,1.1890509312103115,0.08661057849232567,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,AgeAtFirstHFDate,0.030965026182291702,0.006630577677153789,1.0314494295313736,1.0181315094649983,1.0449415579325716,3.011492270221794e-06,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,albumin-numeric result,-0.1550174404403383,0.14437578845907906,0.8564002413560525,0.6453296639742961,1.1365065242435803,0.2829535704472512,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,creatinine-numeric result,-0.03944130316305296,0.035491593392107224,0.9613263791523228,0.8967260896979511,1.0305804836852703,0.2664453568267957,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,AFIB_binary,0.03961844376878626,0.15166898444136312,1.0404137221096459,0.7728635502254243,1.4005845052963384,0.7939255418906905,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,LV_EF,-0.010891441450030698,0.005502102790487025,0.989167655553293,0.9785576639472777,0.999892685777907,0.04775914729389519,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,TissueDopplerEERatioSeptal,0.02654560922990053,0.0077966360795563286,1.0269010823611682,1.0113278825199936,1.0427140902383762,0.0006622426129354597,full_cohort_primary
hospitalization,zinb_intercept_inflation,C_minimal_primary_reference,m/f_m,-0.055954399352191306,0.16817474803663532,0.9455822540706224,0.6800581936993683,1.3147783638182926,0.7393488059554414,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,const,-2.006662495772747,,0.13443660951334174,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,AgeAtFirstHFDate,0.021226802290588292,,1.021453693405488,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,albumin-numeric result,-0.062134496389621915,,0.9397564844366688,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,creatinine-numeric result,-0.0580726580970739,,0.9435813861181115,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,AFIB_binary,0.1135300548340348,,1.1202255565796242,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LV_EF,-0.00428562384889696,,0.9957235463323306,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,TissueDopplerEERatioSeptal,0.03339837001393186,,1.0339623568064606,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,EstimatedSysPAPressure,0.003001982874249013,,1.0030064933371525,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,m/f_m,0.22740275189939324,,1.255335354839079,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Moderately dilated,-0.17588357598733978,,0.8387156242915487,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Normal,0.22904006275093816,,1.2573924125998377,,,,full_cohort_primary
hospitalization,negative_binomial,C_lite_supportive,LACavitySize_Severely dilated,-0.3924649093043948,,0.6753900458432798,,,,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,const,-2.0066624957726598,0.8687269285311996,0.13443660951335346,0.024493015696281907,0.7378920669286724,0.020894318096825737,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,AgeAtFirstHFDate,0.02122680229058856,0.007311595610560626,1.0214536934054885,1.0069199075708386,1.0361972585176153,0.003694064962739718,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,albumin-numeric result,-0.06213449638963291,0.14219199319773643,0.9397564844366585,0.7111792273783626,1.2417998389749043,0.6621287128356825,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,creatinine-numeric result,-0.05807265809707468,0.04316414626688538,0.9435813861181108,0.8670363431660763,1.0268840968965407,0.17849896882890803,full_cohort_primary
hospitalization,poisson_robust,C_lite_supportive,AFIB_binary,0.11353005483402842,0.1499230764272977,1.1202255565796169,0.8350036566131249,1.5028740145931327,0.44889688292214425,full_cohort_primary
