term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),outcome,model_name,tier
albumin_x_log_time,0.17569980809636898,1.1920801521228896,0.06321102206193546,0.05180848142900869,0.2995911347637293,1.0531740208137839,1.3493070100488116,0.0,2.779575497517105,0.0054429999473940525,7.521382262542557,survival,cox_time_varying_albumin,C_lite_supportive_matched
AgeAtFirstHFDate,0.03701358078791576,1.03770711362269,0.005415750241285105,0.026398905365732844,0.04762825621009867,1.0267504430542223,1.0487807051340785,0.0,6.834432745024961,8.233014905754624e-12,36.82171630057979,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
albumin-numeric result,-1.525700110188745,0.21746875146753752,0.36810338828899836,-2.247169493822345,-0.8042307265551452,0.10569798033367221,0.4474319917519141,0.0,-4.144759756981417,3.401701571298374e-05,14.843383894426957,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
creatinine-numeric result,-0.09535751640143818,0.9090478768393143,0.03189144996744678,-0.15786360975239494,-0.032851423050481415,0.8539662466938077,0.9676823241965462,0.0,-2.9900652525606217,0.002789178565743203,8.485943984693275,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
AFIB_binary,0.30093361335036595,1.351119642254327,0.1158552098685555,0.0738615745866677,0.5280056521140641,1.0766577583852819,1.6955474230021725,0.0,2.597497459905279,0.009390581478833681,6.734569790184919,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
LV_EF,-0.019183318319926628,0.9809995105761293,0.00393656595592527,-0.026898845816306645,-0.01146779082354661,0.9734597060661281,0.9885977136533179,0.0,-4.873109846172433,1.0985510033358223e-06,19.795966716812416,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
TissueDopplerEERatioSeptal,0.01594648493083999,1.0160743086642203,0.006229813363071802,0.0037362751088129056,0.02815669475286707,1.0037432636856953,1.0285568412549304,0.0,2.5597050828786116,0.010476102358376411,6.576754128829953,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
EstimatedSysPAPressure,0.0030473433428816585,1.0030519912136264,0.004282767487585433,-0.0053467266869448825,0.011441413372708199,0.9946675416152903,1.0115071166831715,0.0,0.7115360223769024,0.4767521366912414,1.068688690514092,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
m/f_m,-0.039945753610832815,0.9608415599238163,0.12576291528126737,-0.2864365381528789,0.20654503093121324,0.7509347327241688,1.229423095037403,0.0,-0.31762744622685135,0.7507675523892958,0.4135617955691704,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
LACavitySize_Moderately dilated,0.14994546682794052,1.1617708859491587,0.13312794974541914,-0.11098052000873926,0.4108714536646203,0.8949561824978415,1.5081314793222833,0.0,1.1263259677226425,0.2600275701272329,1.9432634978754793,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
LACavitySize_Normal,0.26765979030790377,1.3069024434962906,0.2091280909838879,-0.1422237361761321,0.6775433167919396,0.8674271599376763,1.9690344915408142,0.0,1.2798844433028627,0.20058577961106386,2.3177087641705842,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
LACavitySize_Severely dilated,0.09556688430106998,1.1002824111929803,0.22347962656798623,-0.34244513505064367,0.5335789036527836,0.7100320741907065,1.7050235170861867,0.0,0.4276313047802455,0.668919570708014,0.5800953397998383,survival,cox_time_varying_albumin,C_lite_supportive_matched_to_C_full_exploratory
