outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value
hospitalization,negative_binomial,C_minimal,LV_EF,-0.010891473418000886,0.005502104755725359,0.9891676239316114,0.978557628895502,0.9998926576648216,0.04775857331891675
hospitalization,negative_binomial,C_minimal,TissueDopplerEERatioSeptal,0.026545590489410218,0.007796635445391098,1.0269010631165385,1.0113278648242574,1.0427140694013473,0.000662247770089941
hospitalization,negative_binomial,C_minimal,m/f_m,-0.05595510241971267,0.16817524649111323,0.9455815892626844,0.6800570511765177,1.3147787239404158,0.7393463944132364
hospitalization,poisson_robust,C_minimal,const,-2.125698962538601,0.6286007837711549,0.1193495182636377,0.034813275024156064,0.4091630994176394,0.0007205558722469529
hospitalization,poisson_robust,C_minimal,AgeAtFirstHFDate,0.02370460702358409,0.0064921553626467185,1.0239877944087614,1.0110404837522107,1.0371009073807795,0.00026094752498839746
hospitalization,poisson_robust,C_minimal,albumin-numeric result,-0.07382983148223418,0.1144892531217436,0.9288297379736057,0.7421315446737177,1.1624956361657135,0.5190162639885281
hospitalization,poisson_robust,C_minimal,creatinine-numeric result,-0.03430519768383916,0.03551461594410566,0.9662765542644012,0.9013029458907834,1.0359340148370326,0.33407125247322256
hospitalization,poisson_robust,C_minimal,AFIB_binary,0.10698512388848525,0.1361500023717038,1.1129176984683922,0.852255528737602,1.453303336616461,0.4319913285872534
hospitalization,poisson_robust,C_minimal,LV_EF,-0.0031178966444381367,0.004563950963509343,0.9968869589475823,0.9880092286560376,1.0058444598453558,0.49450741976476653
hospitalization,poisson_robust,C_minimal,TissueDopplerEERatioSeptal,0.030737969401935912,0.007614334528253366,1.0312152585308672,1.01593957476032,1.0467206277280432,5.4172376095174e-05
hospitalization,poisson_robust,C_minimal,m/f_m,0.11620692841691038,0.1394134880682782,1.1232282759359185,0.85466687299414,1.4761795498661219,0.40453940096822705
hospitalization,zinb_intercept_inflation,C_minimal,inflate_const,-22.908970625146235,11729.45169875452,1.1239848860363563e-10,0.0,inf,0.9984416405119378
hospitalization,zinb_intercept_inflation,C_minimal,const,-1.2039630886394515,0.7026115003893691,0.3000029147201046,0.07569208894100724,1.1890509312103115,0.08661057849232567
hospitalization,zinb_intercept_inflation,C_minimal,AgeAtFirstHFDate,0.030965026182291702,0.006630577677153789,1.0314494295313736,1.0181315094649983,1.0449415579325716,3.011492270221794e-06
