idx,column,dtype,n_missing_raw_NaN,pct_missing_raw_NaN,n_NoValue_string,n_effective_missing,pct_effective_missing,n_unique_nonNaN,NULL_semantics,role_inference,sample_or_top_levels
49,COPD,datetime64[us],540,83.7,0,540,83.7,105,Date-encoded comorbidity → NaN = NO condition (NOT missing),Comorbidity date — derive binary as notna(),"min=2008-12-25 17:39:37.837000, max=2024-02-18 11:26:55.987000"
50,OncologicalDiagnosis,str,502,77.8,0,502,77.8,1,String marker: NaN vs 'Oncological diagnosis' → derive binary,Comorbidity flag,nan: 502 (77.8%); Oncological diagnosis: 143 (22.2%)
51,sbp-numeric result,float64,164,25.4,0,164,25.4,115,NaN = not measured (true missing),Continuous (echo or lab),"min=55.0, max=220.0, median=134.0"
52,dbp-numeric result,float64,137,21.2,0,137,21.2,77,NaN = not measured (true missing),Continuous (echo or lab),"min=24.0, max=137.0, median=67.0"
53,hospitalization-count,int64,0,0.0,0,0,0.0,11,Always populated (0 or N) — no NaN expected,Outcome (hosp count),"min=0, max=10, median=1.0"
54,GFR,float64,1,0.2,0,1,0.2,616,NaN = not measured (true missing),Continuous (echo or lab),"min=1.4332231418607648, max=114.58333333333347, median=14.047150312155315"
55,na-numeric result,float64,3,0.5,0,3,0.5,56,NaN = not measured (true missing),Continuous (echo or lab),"min=116.0, max=159.0, median=137.0"
56,k-numeric result,float64,3,0.5,0,3,0.5,69,NaN = not measured (true missing),Continuous (echo or lab),"min=2.56, max=8.19999999999999, median=4.5"
57,albumin-numeric result,float64,1,0.2,0,1,0.2,39,NaN = not measured (true missing),Continuous (echo or lab),"min=1.5, max=4.79999999999999, median=3.1"
58,hb-numeric result,float64,66,10.2,0,66,10.2,105,NaN = not measured (true missing),Continuous (echo or lab),"min=4.5, max=16.0, median=9.69"
59,urea-numeric result,float64,4,0.6,0,4,0.6,267,NaN = not measured (true missing),Continuous (echo or lab),"min=25.0, max=472.0, median=211.0"
60,creatinine-numeric result,float64,1,0.2,0,1,0.2,428,NaN = not measured (true missing),Continuous (echo or lab),"min=0.959999999999999, max=13.83, median=5.07"
61,ca-numeric result,float64,1,0.2,0,1,0.2,58,NaN = not measured (true missing),Continuous (echo or lab),"min=4.79999999999999, max=12.8, median=8.3"
62,p-numeric result,float64,1,0.2,0,1,0.2,129,NaN = not measured (true missing),Continuous (echo or lab),"min=1.89999999999999, max=13.0, median=5.79999999999999"
63,ua-numeric result,float64,1,0.2,0,1,0.2,149,NaN = not measured (true missing),Continuous (echo or lab),"min=1.7, max=22.1999999999999, median=9.350000000000001"
64,crp-numeric result,float64,25,3.9,0,25,3.9,595,NaN = not measured (true missing),Continuous (echo or lab),"min=0.27, max=688.32, median=38.06"
65,hba1c-numeric result,float64,65,10.1,0,65,10.1,71,NaN = not measured (true missing),Continuous (echo or lab),"min=4.0, max=18.6999999999999, median=6.09999999999999"
