outcome_family,variable,predictor_role,term,contrast,variable_type,coding,reference_level,n_model,events_or_total_count,effect_measure,estimate,ci95_low,ci95_high,p_value,raw_beta,raw_beta_ci95_low,raw_beta_ci95_high,n_input_rows,n_available_predictor,n_missing_predictor,missing_predictor_pct,missing_handling,nb_alpha_screening_fixed,q_value_bh_within_outcome,abs_log_effect
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_91_180d,before_91_180d vs before_181_365d,categorical,categorical_dummy_vs_reference_complete_case,before_181_365d,644,1177,IRR,0.9151903947514304,0.6620499499842074,1.2651212475210647,0.5916466367267545,-0.0886231536570567,-0.41241427274322484,0.23516796542911145,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.693071774451341,0.0886231536570567
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Moderate-to-Severe,Moderate-to-Severe vs Mild (I),categorical,categorical_dummy_vs_reference_complete_case,Mild (I),596,1100,IRR,1.0784760390530734,0.8042391852831602,1.446224690484452,0.6137923551264735,0.07554896968147386,-0.21785855991249214,0.36895649927543983,644,596,48,0.07453416149068323,variable_level_complete_case_for_predictor,1.0,0.6990412933384836,0.07554896968147386
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_31_90d,before_31_90d vs before_181_365d,categorical,categorical_dummy_vs_reference_complete_case,before_181_365d,644,1177,IRR,0.931477884567351,0.6735634233049332,1.2881504835592408,0.6678196102004847,-0.07098283096430767,-0.39517311784761544,0.25320745591900007,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.7321718266458701,0.07098283096430767
hospitalization_negative_binomial,albumin-numeric result,main_candidate,albumin-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,643,1177,IRR,0.9785072816962302,0.8829435355896599,1.084414191552023,0.6785982783547089,-0.021727050481073745,-0.12449402652739183,0.08103992556524434,644,643,1,0.0015527950310559005,variable_level_complete_case_for_predictor,1.0,0.7321718266458701,0.021727050481073745
hospitalization_negative_binomial,echo_to_dialysis_timing_category,timing_sensitivity_only,echo_to_dialysis_timing_category__level__before_gt_365d,before_gt_365d vs before_181_365d,categorical,categorical_dummy_vs_reference_complete_case,before_181_365d,644,1177,IRR,0.8568495834187481,0.11799828722018163,6.222049708525862,0.8786115264707618,-0.15449289105296832,-2.1370851697050237,1.828099387599087,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.9236685278282368,0.15449289105296832
hospitalization_negative_binomial,MI_binary,main_candidate,MI_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference_complete_case,0,644,1177,IRR,0.990738447522285,0.7945840995043739,1.2353162767932588,0.9341237954936557,-0.00930470731539624,-0.2299364464935566,0.21132703186276414,644,644,0,0.0,variable_level_complete_case_for_predictor,1.0,0.9574768903809969,0.00930470731539624
hospitalization_negative_binomial,mitral_regurgitation_clin_grouped,main_candidate,mitral_regurgitation_clin_grouped__level__Mild-to-mod,Mild-to-mod vs Mild (I),categorical,categorical_dummy_vs_reference_complete_case,Mild (I),596,1100,IRR,0.9978932539995289,0.7362780773803949,1.352465837256346,0.9891528328707095,-0.0021089683116049737,-0.30614740908250876,0.30192947245929885,644,596,48,0.07453416149068323,variable_level_complete_case_for_predictor,1.0,0.9891528328707095,0.0021089683116049737
one_year_mortality_logistic,AgeAtFirstHFDate,main_candidate,AgeAtFirstHFDate__z,per 1 SD increase,continuous,continuous_per_1SD,,617,239,OR,1.6039356602924228,1.3399700042315719,1.9199008890001208,2.6073723341551467e-07,0.4724603966026706,0.29264722881046223,0.6522735643948789,617,617,0,0.0,variable_level_complete_case_for_predictor,,1.0690226570036102e-05,0.4724603966026706
one_year_mortality_logistic,creatinine-numeric result,main_candidate,creatinine-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,616,239,OR,0.6349699478616663,0.5313042081211609,0.7588624906872615,5.909565210597407e-07,-0.45417760741146573,-0.6324205251328137,-0.2759346896901178,617,616,1,0.0016207455429497568,variable_level_complete_case_for_predictor,,1.2114608681724684e-05,0.45417760741146573
one_year_mortality_logistic,albumin-numeric result,main_candidate,albumin-numeric result__z,per 1 SD increase,continuous,continuous_per_1SD,,616,239,OR,0.6591719376839671,0.5557253488097836,0.7818747954554097,1.7094977187578271e-06,-0.4167708715539866,-0.5874810837391883,-0.24606065936878496,617,616,1,0.0016207455429497568,variable_level_complete_case_for_predictor,,2.3363135489690305e-05,0.4167708715539866
one_year_mortality_logistic,tricuspid_regurgitation_clin_grouped,main_candidate,tricuspid_regurgitation_clin_grouped__level__Trivial,Trivial vs Mild (I),categorical,categorical_dummy_vs_reference_complete_case,Mild (I),573,228,OR,0.37450000000043077,0.2331950984806312,0.6014288075268941,4.831670509859278e-05,-0.9821634760237126,-1.4558798432488567,-0.5084471087985685,617,573,44,0.0713128038897893,variable_level_complete_case_for_predictor,,0.0003998726650015757,0.9821634760237126
one_year_mortality_logistic,LV_EF,main_candidate,LV_EF__z,per 1 SD increase,continuous,continuous_per_1SD,,613,237,OR,0.7121986178786578,0.6046027088082693,0.8389424392557946,4.876495914653362e-05,-0.3393984487768806,-0.5031837163155733,-0.17561318123818778,617,613,4,0.006482982171799027,variable_level_complete_case_for_predictor,,0.0003998726650015757,0.3393984487768806
one_year_mortality_logistic,HTN_binary,main_candidate,HTN_binary__level__0,0 vs 1,categorical,categorical_dummy_vs_reference_complete_case,1,617,239,OR,2.2056347907410774,1.439921618692731,3.3785344750529465,0.0002772213934758958,0.7910153544247154,0.3645886806430822,1.2174420282063485,617,617,0,0.0,variable_level_complete_case_for_predictor,,0.001894346188751955,0.7910153544247154
one_year_mortality_logistic,AFIB_binary,main_candidate,AFIB_binary__level__1,1 vs 0,categorical,categorical_dummy_vs_reference_complete_case,0,617,239,OR,1.7177333491063156,1.238916415773035,2.3816036506312144,0.0011746597982504083,0.5410056014495623,0.21423713933269445,0.8677740635664302,617,617,0,0.0,variable_level_complete_case_for_predictor,,0.006880150246895248,0.5410056014495623
